date,P&L
2021-03-25,-41.8
2021-03-29,-41
2021-03-29,-44.49
2021-03-29,-92.75
2021-03-30,-4.99
2021-03-30,-1150
2021-03-30,-41.99
2021-03-31,-41.8
2021-04-01,2019.52
2021-04-01,-52
2021-04-01,-9.21
2021-04-01,-42.01
2021-04-02,-64
2021-04-02,2226.77
